Town,Population,OneDose,FullVax,FirstBoost,SecondBoost,OneDosePerCap,FullVaxPerCap,FirstBoostPerCap,SecondBoostPerCap,accountants_per_10000_residents_2013,apartments_condos_multis_per_residential_parcels_2011,architects_per_10000_2013,assessed_home_value_changes_2009-2013,barbers_per_10000_residents_2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,construction_supervisors_per_10000_2013,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,dentists_per_10000_2013,doctors_per_10000_residents_2013,education_spending_as_a_percent_2012,education_spending_per_resident_2012,electricians_per_1000_residents_2013,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,funeral_directors_per_10000_2013,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,massage_therapists_per_10000_2012,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,real_estate_professionals_per_1000_residents_2013,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,tax_bills_for_single-family_homes_2012,tax_bills_for_single-family_homes_2013,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,veterinarians_per_10000_2013,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2022_gov
Princeton,3491.0,3180.0,2858.0,1951.0,549.0,0.9109137782870238,0.8186765969636207,0.5588656545402464,0.1572615296476654,11.7,0.023,5.9,-0.149,0.0,7.0,278.3,38.0,9.9,498.7,,0.004,8.8,58.6,47.0,,20.5,60.2,1474.0,5.0,2372.0,49.9,2.79,66.0,7.1,2.9,124.1,17.6,8.2,21.2,3.0,2.67,14.9,25.5,6.7,47692.0,-0.02,0.3,23.4,18.0,44.4,106.8,,0.167,39.0,24.2,206.0,26.2,8.7,2.31,0.003,25.0,124.0,0.079,,8.0,95.6,29.3,,34.7,43.8,4.4,0.864,11.9,5096.0,5303.0,88.1,,,433.0,11.7,2.9,2737.0,0.86,18.3,2575.0,Healey
Royalston,1246.0,903.0,813.0,478.0,146.0,0.7247191011235955,0.6524879614767255,0.3836276083467094,0.117174959871589,0.0,0.026,0.0,-0.023,7.9,9.5,286.2,,11.4,445.9,,,15.9,15.9,40.0,,0.0,33.8,448.0,3.2,1207.0,50.2,3.71,45.0,7.4,0.0,198.1,7.9,0.0,35.8,3.5,2.53,26.1,20.4,4.3,22745.0,0.21,0.8,23.8,8.0,46.0,91.4,,0.696,62.0,34.1,56.0,7.9,4.7,0.5,0.003,10.0,,0.068,,3.0,95.0,34.2,,31.5,420.0,11.1,1.0,,,1953.0,85.3,,,493.0,7.9,,877.0,0.48,16.5,787.0,Healey
Rutland,9045.0,7875.0,7225.0,4588.0,769.0,0.8706467661691543,0.798783858485351,0.5072415699281371,0.0850193477059148,10.0,0.113,2.5,-0.153,10.0,11.0,299.8,60.0,9.0,400.9,,0.063,3.8,54.7,23.0,1.3,1.3,54.7,1046.0,4.9,1891.0,50.5,1.24,24.0,6.2,0.0,104.7,1.3,9.6,13.7,4.7,2.85,19.1,16.3,3.2,30925.0,0.08,0.4,12.5,3.0,39.4,98.7,,0.127,24.5,36.5,83.0,11.2,4.4,1.61,0.004,18.0,76.0,0.177,,7.0,94.8,28.2,,34.1,142.5,9.9,0.953,11.2,3735.0,3926.0,88.8,,,384.0,6.3,23.5,5856.0,1.71,20.8,5675.0,Diehl
Shrewsbury,38320.0,36586.0,32464.0,21411.0,4827.0,0.954749478079332,0.8471816283924843,0.5587421711899792,0.1259655532359081,27.5,0.184,2.2,-0.063,7.9,9.3,206.7,19.3,8.6,463.4,22.0,0.134,1.1,98.9,44.0,12.9,20.8,52.7,1302.0,2.4,2470.0,51.2,3.29,81.0,13.9,2.2,45.2,0.8,6.0,13.7,7.3,2.62,24.6,20.9,6.2,41874.0,-0.02,0.2,10.4,9.0,38.8,68.3,31.1,0.243,14.9,31.6,111.0,14.8,4.5,2.36,0.003,171.0,76.0,0.13,11318.0,11.0,86.9,19.0,0.018,41.6,16.2,23.9,0.854,6.7,4139.0,4322.0,93.3,72532.0,0.39,300.0,6.5,1.7,23216.0,0.75,27.4,21131.0,Healey
Southborough,10445.0,10724.0,9503.0,6490.0,1562.0,1.026711345141216,0.9098133078027764,0.6213499281953088,0.149545236955481,73.7,0.117,3.1,-0.068,7.2,9.7,111.6,28.6,8.6,459.0,18.7,0.074,6.1,125.7,50.0,8.2,48.1,56.4,2447.0,2.6,4342.0,50.5,4.15,180.0,13.7,3.1,53.0,2.0,3.5,12.5,7.5,2.89,15.4,27.8,6.0,107414.0,0.09,0.1,15.4,16.0,42.3,95.8,19.7,0.053,14.1,24.6,164.0,18.3,3.8,2.54,0.003,97.0,70.0,0.088,14831.0,15.0,80.7,17.9,-0.109,42.2,8.2,11.5,0.901,10.8,8334.0,8573.0,89.2,75961.0,0.48,359.0,12.3,3.0,7071.0,0.98,22.6,6665.0,Healey
Southbridge,17735.0,12533.0,11295.0,5696.0,1158.0,0.7066817028474768,0.6368762334367071,0.3211728221031858,0.0652946151677473,1.8,0.34,0.6,-0.213,13.2,12.6,108.9,118.6,10.6,406.8,19.5,0.031,2.4,124.4,28.0,4.2,40.7,53.6,1443.0,3.2,2524.0,51.8,4.49,113.0,12.4,7.8,60.5,49.6,0.0,50.0,10.2,2.41,30.4,7.2,6.3,18177.0,0.0,1.8,22.1,9.0,36.6,48.1,43.8,-0.144,20.2,35.7,160.0,21.4,6.3,-0.05,0.003,34.0,256.0,0.153,12894.0,3.0,77.1,12.6,0.073,35.0,6.6,40.1,0.951,16.9,2949.0,3019.0,83.2,58909.0,0.35,274.0,0.6,37.2,11168.0,0.48,36.2,7261.0,Healey
Spencer,11989.0,8795.0,8060.0,4730.0,1162.0,0.7335891233630828,0.6722829260155142,0.3945283176244891,0.0969221786637751,3.4,0.166,0.9,-0.206,12.0,10.6,480.0,53.7,10.3,412.0,,0.016,2.6,110.9,34.0,3.4,8.6,50.8,662.0,7.3,1219.0,50.1,2.53,31.0,11.0,3.4,113.2,5.1,21.1,36.9,5.3,2.45,26.9,13.6,6.1,23487.0,0.03,1.1,17.1,25.0,40.5,66.5,,0.107,33.5,33.3,142.0,17.9,11.6,0.66,0.003,7.0,181.0,0.159,,6.0,87.1,22.6,,38.6,237.9,10.2,0.941,8.9,2494.0,2607.0,91.1,,,366.0,6.0,19.4,7843.0,0.36,25.8,6412.0,Diehl
Sterling,7980.0,6949.0,6350.0,4165.0,1030.0,0.8708020050125314,0.7957393483709273,0.5219298245614035,0.1290726817042606,32.0,0.09,3.8,-0.164,16.6,8.6,324.0,51.1,9.3,461.3,,0.038,5.1,83.5,,6.4,15.4,,,5.4,,50.8,,,,0.0,97.8,3.8,16.5,13.8,4.0,2.73,18.1,21.6,9.0,38982.0,0.01,0.3,14.1,18.0,42.8,95.5,,0.208,34.2,34.9,,22.9,,2.6,0.003,59.0,114.0,0.031,,12.0,86.2,29.8,,40.0,93.2,7.7,0.917,12.4,4545.0,4635.0,87.6,,,405.0,5.1,17.7,5920.0,0.91,18.2,5451.0,Healey
Sturbridge,9863.0,8358.0,7583.0,4671.0,1130.0,0.8474095102909865,0.7688330122680725,0.4735881577613302,0.1145696035688938,15.1,0.107,1.1,-0.156,3.2,8.4,603.2,47.3,9.1,475.9,21.8,0.056,6.5,231.1,46.0,11.9,7.6,55.2,1590.0,3.5,2882.0,50.7,3.62,104.0,9.4,1.1,101.9,3.2,13.6,15.1,5.5,2.56,22.6,18.7,4.1,36967.0,0.01,0.3,35.6,18.0,40.4,97.0,11.3,0.123,26.7,23.0,195.0,24.7,6.8,2.3,0.003,21.0,189.0,0.196,11769.0,11.0,81.3,16.5,0.038,45.7,53.8,10.1,0.955,8.5,4553.0,4570.0,91.5,67781.0,0.25,370.0,6.5,30.9,6631.0,1.21,24.5,6093.0,Healey
Sutton,9352.0,7805.0,7022.0,4315.0,899.0,0.8345808383233533,0.7508554319931565,0.4613986313088109,0.0961291702309666,26.8,0.097,2.2,-0.11,5.6,7.3,422.8,60.0,9.6,465.4,19.8,0.047,3.3,87.8,18.0,,4.5,55.0,1565.0,5.6,2775.0,50.7,1.34,37.0,13.2,2.2,129.5,4.5,14.3,25.0,4.7,2.79,16.9,18.4,8.0,42147.0,0.03,0.2,10.0,6.0,41.7,95.5,7.1,0.186,32.0,33.9,159.0,22.2,5.7,1.89,0.004,40.0,127.0,0.205,11329.0,9.0,88.3,25.5,-0.053,38.8,72.3,22.1,0.884,5.4,4607.0,4845.0,94.6,68529.0,0.38,395.0,1.1,11.0,6833.0,1.1,17.5,6318.0,Diehl
Templeton,8144.0,6096.0,5413.0,2980.0,684.0,0.7485265225933202,0.6646611001964636,0.3659135559921415,0.0839882121807465,2.5,0.094,0.0,-0.221,8.7,9.9,233.4,49.8,10.2,414.3,,0.031,8.7,74.5,,,5.0,,,4.9,,49.5,,,,0.0,111.0,5.0,16.1,28.6,6.1,2.7,19.8,17.4,8.0,21829.0,-0.05,0.5,21.2,10.0,41.7,95.6,,0.234,30.9,31.9,,18.6,,0.68,0.003,30.0,85.0,0.078,,5.0,88.4,23.0,,43.8,225.2,8.6,0.933,10.2,2612.0,2366.0,89.8,,,379.0,2.5,13.6,5174.0,0.71,20.6,4495.0,Diehl
Upton,7995.0,7083.0,6388.0,4156.0,895.0,0.8859287054409005,0.7989993746091307,0.5198248905565979,0.1119449656035021,17.2,0.087,4.0,-0.115,2.7,9.3,244.0,15.9,9.4,436.1,,0.036,2.7,88.8,30.0,2.7,13.3,58.0,1283.0,4.9,2212.0,51.0,3.37,75.0,7.6,1.3,100.9,2.7,21.2,24.6,4.6,2.76,19.5,19.7,3.5,41233.0,-0.12,0.1,9.3,13.0,42.3,102.6,,0.086,31.8,21.2,201.0,,9.1,1.84,0.004,35.0,98.0,0.19,,11.0,93.7,28.6,,39.1,21.1,2.8,0.908,10.2,5630.0,5809.0,89.9,,,376.0,5.3,10.5,5142.0,1.18,19.3,5300.0,Healey
Uxbridge,14158.0,11449.0,10283.0,5662.0,1417.0,0.8086594151716344,0.7263031501624523,0.3999152422658568,0.1000847577341432,12.6,0.273,3.0,-0.15,10.4,10.3,226.6,53.3,9.8,466.2,19.5,0.16,5.2,90.0,34.0,1.5,13.4,55.7,1480.0,4.8,2657.0,50.2,1.34,36.0,17.5,0.0,104.1,38.6,14.8,25.8,5.8,2.65,21.8,16.1,7.6,30398.0,-0.07,0.3,15.6,14.0,40.8,94.9,8.2,0.359,37.4,34.8,125.0,17.0,4.7,0.92,0.003,33.0,111.0,0.2,12074.0,7.0,85.3,27.9,-0.073,37.0,17.8,27.8,0.895,5.0,4395.0,4474.0,95.0,68804.0,0.27,371.0,7.4,13.9,10140.0,1.17,22.2,8727.0,Diehl
Warren,4971.0,3015.0,2733.0,1475.0,294.0,0.6065178032589016,0.5497887748943875,0.2967209816938241,0.0591430295715147,1.9,0.155,1.9,-0.215,3.9,9.5,261.0,,10.8,411.5,,0.014,7.8,81.4,42.0,1.9,0.0,47.5,635.0,4.1,1300.0,50.2,2.98,39.0,9.7,0.0,134.7,7.8,37.7,46.1,5.0,2.54,25.4,13.5,7.0,16792.0,-0.04,0.8,19.5,8.0,42.0,74.4,,0.169,33.7,36.1,116.0,19.4,8.9,0.51,0.003,10.0,,0.026,,3.0,88.1,18.5,,37.9,67.9,9.1,0.954,8.6,2968.0,2982.0,91.4,,,362.0,3.9,,3203.0,0.36,24.5,2599.0,Diehl
Webster,17772.0,12851.0,11549.0,5920.0,1282.0,0.7231037587215845,0.6498424487958586,0.3331082601845599,0.0721359441818591,7.8,0.264,0.6,-0.194,7.2,11.2,823.0,,10.2,460.2,20.0,0.054,1.2,81.1,,3.0,8.9,,,3.1,,51.6,,,,7.8,65.1,4.2,7.8,39.9,6.4,2.32,31.6,11.9,7.8,22257.0,-0.04,1.9,23.3,10.0,40.5,60.6,26.7,0.097,24.3,27.8,,20.2,,0.27,0.003,23.0,329.0,0.142,12786.0,5.0,83.9,16.9,-0.037,36.7,23.8,29.6,0.845,7.8,2670.0,2723.0,92.2,62586.0,0.38,294.0,3.6,66.0,11636.0,0.49,29.4,8298.0,Diehl
West Boylston,7872.0,6511.0,5903.0,3783.0,1020.0,0.8271087398373984,0.7498729674796748,0.4805640243902439,0.1295731707317073,14.3,0.192,0.0,-0.149,11.7,6.8,178.6,35.1,9.2,431.9,17.8,0.14,7.8,84.5,38.0,9.1,18.3,48.3,1273.0,4.3,2442.0,44.6,3.05,74.0,18.6,1.3,72.3,6.5,11.0,22.9,2.9,2.43,25.9,16.1,9.6,27780.0,0.01,0.1,17.0,30.0,40.4,70.9,10.9,0.117,21.1,27.5,151.0,23.3,6.2,1.98,0.003,48.0,133.0,0.07,12384.0,10.0,79.3,23.5,-0.104,45.5,44.2,18.5,0.948,12.2,4349.0,4420.0,87.8,74304.0,0.34,320.0,2.6,7.7,5099.0,0.38,20.6,4802.0,Healey
West Brookfield,3828.0,3338.0,3048.0,1879.0,566.0,0.8719958202716823,0.7962382445141066,0.4908568443051201,0.1478578892371995,2.7,0.068,2.7,-0.217,5.4,9.5,791.7,,10.3,449.3,,0.01,10.8,31.3,61.0,5.4,10.8,52.0,795.0,5.4,1452.0,52.5,1.81,26.0,8.7,8.1,148.4,16.2,3.8,33.6,6.5,2.4,26.2,19.3,6.1,31101.0,0.08,0.3,24.3,14.0,46.9,79.7,,0.357,35.9,23.0,130.0,18.8,9.0,1.21,0.003,17.0,,0.044,,8.0,91.8,24.3,,44.2,193.9,8.9,0.985,9.5,2612.0,2702.0,90.5,,,409.0,8.1,,2524.0,0.52,23.3,2327.0,Diehl
Westborough,21563.0,21296.0,18517.0,11849.0,2661.0,0.9876176784306452,0.8587395074896814,0.5495060984093122,0.1234058340676158,38.3,0.204,2.2,-0.04,3.8,10.2,100.7,,8.6,472.8,16.4,0.131,2.7,130.8,61.0,16.4,30.1,52.9,2218.0,1.8,4073.0,51.0,4.45,181.0,15.1,0.5,46.0,5.5,4.1,13.0,7.5,2.57,25.9,23.9,5.3,49336.0,0.01,0.2,22.4,18.0,38.5,72.7,32.0,-0.056,12.1,26.0,140.0,18.5,3.4,1.48,0.003,131.0,109.0,0.175,14545.0,11.0,62.2,14.7,-0.011,38.2,9.3,10.0,0.954,8.2,7790.0,7972.0,91.8,75090.0,0.31,325.0,10.4,9.7,11598.0,0.45,25.5,10636.0,Healey
Westminster,8208.0,6560.0,5957.0,3652.0,858.0,0.7992202729044834,0.7257553606237817,0.4449317738791423,0.10453216374269,4.1,0.07,4.1,-0.22,6.9,7.1,560.7,24.7,10.2,470.4,,0.03,6.9,134.8,50.0,1.4,19.2,52.7,1262.0,8.0,2330.0,50.0,4.9,114.0,8.3,1.4,117.1,5.5,15.7,16.5,4.1,2.68,18.8,19.7,7.5,31786.0,0.03,0.7,19.2,21.0,43.1,89.6,,0.433,39.6,31.7,196.0,24.6,8.4,1.63,0.003,8.0,190.0,0.101,,8.0,81.8,29.4,,35.2,94.5,3.6,0.967,9.0,3989.0,4241.0,91.0,,,414.0,1.4,13.6,5532.0,0.84,18.8,5294.0,Diehl
Winchendon,10359.0,6903.0,6206.0,3144.0,669.0,0.6663770634231103,0.5990925765035235,0.3035041992470316,0.0645815233130611,3.9,0.117,0.0,-0.176,3.9,10.3,263.1,25.2,10.4,381.9,19.9,0.013,4.9,50.1,16.0,1.0,3.9,60.1,1405.0,4.1,2335.0,49.8,2.6,61.0,4.9,2.9,90.4,2.9,24.5,35.0,6.2,2.64,23.8,13.2,3.5,19194.0,-0.04,1.1,21.4,4.0,41.2,79.4,10.4,0.315,32.8,36.5,104.0,18.3,4.4,0.56,0.003,5.0,247.0,0.014,12737.0,5.0,90.2,18.9,-0.141,39.0,204.2,49.0,0.911,15.2,2643.0,2535.0,84.8,68762.0,0.27,352.0,1.9,32.6,6311.0,0.82,21.9,5152.0,Diehl
Worcester,206513.0,155732.0,132718.0,68826.0,13872.0,0.7541026472909695,0.6426617210538804,0.3332768397146911,0.0671725266690232,9.1,0.369,0.9,-0.197,14.6,13.7,76.7,113.7,10.1,358.8,19.3,,0.3,140.2,45.0,7.0,90.1,50.6,1230.0,1.9,2409.0,51.3,7.31,176.0,6.7,3.1,21.5,15.3,4.7,49.6,16.8,2.46,31.8,12.7,6.5,18344.0,0.0,2.7,16.0,10.0,34.3,42.3,64.5,-0.125,9.5,41.1,224.0,25.5,9.3,-0.11,0.003,536.0,351.0,0.104,13489.0,4.0,71.9,13.0,0.071,33.4,6.6,43.2,0.917,,,3492.0,71.7,86005.0,0.3,200.0,0.9,95.9,103767.0,0.24,44.1,71370.0,Healey
